Gait cycle [%],Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt
32,-5.09106,5.66437,9.55201,-5.92058,3.99334,8.21485,-7.02008,3.1055,10.25857,-6.843,2.78642,8.81444,-7.08555,2.81876,8.6827,-6.60143,2.04092,9.52012,-5.69801,3.56124,9.24759,-6.64617,2.37746,7.63007,-7.95861,0.73251,8.75982,-6.84405,2.65341,7.71497,-6.72233,4.11888,8.38796,-4.90085,7.17207,6.39415,-6.34787,2.43609,9.22245,-5.8929,4.73785,7.98487,-6.81394,4.6338,8.33605,-6.6032,6.69122,9.0808,-6.82553,2.43293,8.24907,-6.68702,2.44648,8.1762,-6.08601,4.77936,7.49158,-6.93263,4.21029,9.19933,-6.85578,3.29892,7.47369,-6.45355,4.03051,8.29985,-6.65153,5.46268,7.70115,-5.17646,7.01845,7.65936,-5.38549,6.32428,9.08256,-5.03676,7.40177,8.30109,-5.30938,6.55266,7.09205,-6.6585,4.14762,7.10813,-6.48992,2.64799,8.78273,-5.34405,5.91856,7.87179,-5.398,2.45005,9.28832,-5.48554,4.92698,8.42867,-6.80506,4.00503,8.97754,-6.30316,5.79772,7.10244,-6.11447,5.05961,8.60874,-6.32367,5.87013,8.80521
33,-5.22627,5.59425,9.6684,-6.07061,3.9231,8.40604,-7.12569,3.03663,10.40582,-6.91364,2.72108,8.99251,-7.07546,2.7188,8.87479,-6.57931,2.04454,9.66983,-5.83224,3.59135,9.39141,-6.76805,2.26541,7.81163,-8.02108,0.64889,8.96252,-6.91895,2.60271,7.93451,-6.77017,4.17382,8.60392,-4.96866,7.17577,6.60186,-6.46995,2.37366,9.37535,-6.02322,4.73269,8.19364,-6.9881,4.60551,8.56234,-6.67201,6.66811,9.317,-6.91799,2.33091,8.44855,-6.84882,2.44838,8.38976,-6.23958,4.72866,7.67598,-6.98475,4.12677,9.42942,-7.00984,3.26662,7.64865,-6.51551,4.04979,8.49193,-6.69622,5.40232,7.92348,-5.28193,6.96912,7.87841,-5.44678,6.23822,9.26143,-5.18139,7.41542,8.53181,-5.34527,6.52454,7.27816,-6.77165,4.0612,7.27897,-6.5682,2.65674,8.98117,-5.51568,5.93267,8.11121,-5.52294,2.47826,9.49224,-5.60711,4.92388,8.63427,-6.93226,3.98717,9.17375,-6.37354,5.75916,7.29528,-6.21831,5.02087,8.78935,-6.41579,5.8596,9.01129
34,-5.3086,5.52734,9.77944,-6.17423,3.88205,8.58495,-7.18621,2.99523,10.54697,-6.93007,2.67666,9.14808,-7.02048,2.65383,9.05791,-6.51366,2.06911,9.81467,-5.92053,3.63463,9.51693,-6.8463,2.16306,7.98389,-8.01371,0.59293,9.15489,-6.94755,2.587,8.15003,-6.76634,4.26591,8.80481,-5.01058,7.19669,6.79851,-6.56015,2.33843,9.52121,-6.12559,4.73285,8.4031,-7.11068,4.58423,8.78247,-6.69138,6.66132,9.53824,-6.97069,2.25761,8.64672,-6.96145,2.44056,8.60752,-6.35747,4.68356,7.85353,-7.00156,4.06068,9.65237,-7.10745,3.2551,7.81172,-6.53776,4.09697,8.66441,-6.69691,5.3528,8.13063,-5.35459,6.92874,8.08855,-5.48097,6.15523,9.42995,-5.29692,7.42782,8.74819,-5.33857,6.51445,7.45041,-6.84563,3.98244,7.43969,-6.60553,2.69447,9.17387,-5.66049,5.97042,8.34787,-5.62765,2.52758,9.6927,-5.68706,4.92392,8.83922,-7.01715,3.98824,9.37336,-6.40287,5.74202,7.48667,-6.29953,5.00015,8.9688,-6.49089,5.85404,9.22992
35,-5.33579,5.46533,9.88119,-6.22644,3.86745,8.74507,-7.19688,2.97893,10.67695,-6.89196,2.65121,9.27661,-6.92082,2.62334,9.22764,-6.40698,2.11145,9.94882,-5.95584,3.6855,9.61902,-6.87502,2.07118,8.14332,-7.93729,0.5629,9.33537,-6.92564,2.60143,8.35584,-6.71214,4.39314,8.98648,-5.0222,7.23218,6.97829,-6.61227,2.32823,9.65182,-6.19291,4.7347,8.60709,-7.17647,4.56839,8.99362,-6.65638,6.66932,9.74087,-6.97613,2.2108,8.83994,-7.0144,2.4229,8.82539,-6.43047,4.64031,8.02041,-6.97921,4.01501,9.85952,-7.14225,3.26461,7.96282,-6.51993,4.165,8.81126,-6.65171,5.31611,8.32094,-5.38726,6.89687,8.28522,-5.48386,6.07207,9.58338,-5.37506,7.43601,8.94155,-5.28989,6.52002,7.6068,-6.87435,3.91196,7.58693,-6.59913,2.75841,9.35565,-5.76752,6.02433,8.57363,-5.70301,2.59293,9.88237,-5.72134,4.92639,9.03717,-7.04955,4.00496,9.57054,-6.38574,5.74064,7.67244,-6.34936,4.99374,9.13948,-6.54189,5.85235,9.45397
36,-5.30967,5.41019,9.9696,-6.22512,3.87624,8.88119,-7.15574,2.98466,10.79103,-6.80297,2.64181,9.37489,-6.77996,2.62464,9.38096,-6.26415,2.16755,10.06652,-5.93499,3.73937,9.69419,-6.85294,1.99052,8.2885,-7.79779,0.55693,9.50218,-6.85275,2.64148,8.54769,-6.61273,4.55211,9.14582,-5.00173,7.27807,7.13602,-6.62229,2.3405,9.76095,-6.21955,4.73614,8.79954,-7.1839,4.55774,9.1941,-6.56572,6.6911,9.92275,-6.92975,2.18946,9.02522,-7.00077,2.39933,9.03979,-6.45166,4.5975,8.17534,-6.9166,3.99173,10.04425,-7.11285,3.29633,8.10241,-6.4639,4.24734,8.92921,-6.5623,5.29426,8.49455,-5.37644,6.87343,8.46453,-5.45359,5.98586,9.71841,-5.40961,7.43816,9.10446,-5.20289,6.54004,7.74656,-6.85467,3.85117,7.71947,-6.54888,2.84609,9.52287,-5.8277,6.0877,8.78282,-5.74169,2.66871,10.0557,-5.70966,4.93131,9.22318,-7.02381,4.03427,9.75967,-6.32025,5.75037,7.84997,-6.36118,4.99798,9.29478,-6.56174,5.8543,9.67662
37,-5.23611,5.36301,10.04086,-6.1716,3.90511,8.98919,-7.06372,3.00855,10.88526,-6.67043,2.64438,9.44147,-6.60454,2.65305,9.51622,-6.09223,2.23249,10.16254,-5.85904,3.7928,9.74051,-6.78297,1.92181,8.41911,-7.60548,0.57256,9.65275,-6.7323,2.70302,8.72254,-6.47664,4.73802,9.28133,-4.95019,7.32891,7.26757,-6.58896,2.3721,9.84464,-6.20207,4.73641,8.97479,-7.1349,4.55332,9.38291,-6.4224,6.72633,10.08275,-6.83086,2.19331,9.19975,-6.91825,2.37677,9.247,-6.41747,4.55569,8.31862,-6.81578,3.99117,10.20202,-7.02313,3.35155,8.23066,-6.3737,4.33833,9.01755,-6.43411,5.28857,8.653,-5.32289,6.8584,8.62323,-5.39064,5.89477,9.83304,-5.39732,7.4339,9.23146,-5.08429,6.57376,7.86968,-6.7878,3.80124,7.83787,-6.45719,2.95522,9.67328,-5.83487,6.15507,8.97257,-5.73915,2.74939,10.20897,-5.65566,4.9391,9.39403,-6.93954,4.07365,9.93575,-6.20821,5.76791,8.01786,-6.33112,5.00976,9.43007,-6.54489,5.86029,9.89185
38,-5.1249,5.32325,10.0917,-6.07108,3.94977,9.06632,-6.92505,3.0459,10.95681,-6.50481,2.65341,9.47665,-6.4042,2.70119,9.63336,-5.90024,2.30027,10.23302,-5.73383,3.84306,9.75726,-6.67198,1.86509,8.53504,-7.3742,0.60637,9.78358,-6.57118,2.78232,8.87762,-6.31507,4.94434,9.39315,-4.87121,7.37847,7.37018,-6.51432,2.41931,9.90154,-6.14009,4.73569,9.12781,-7.03523,4.55695,9.55879,-6.23439,6.7746,10.21978,-6.68305,2.22254,9.36058,-6.76956,2.36334,9.442,-6.32911,4.51631,8.45093,-6.68178,4.01149,10.33022,-6.88209,3.43092,8.34697,-6.25542,4.43298,9.07742,-6.27564,5.29887,8.79855,-5.23181,6.85103,8.75884,-5.29795,5.79749,9.92619,-5.33842,7.42406,9.31948,-4.94361,6.62001,7.97678,-6.67968,3.76229,7.94396,-6.32925,3.08302,9.80591,-5.78697,6.22282,9.14233,-5.69456,2.82964,10.33955,-5.56665,4.95056,9.54826,-6.80176,4.12113,10.09433,-6.05557,5.79106,8.17541,-6.259,5.0268,9.54307,-6.48804,5.87149,10.09443
39,-4.98924,5.28818,10.12003,-5.93294,4.0047,9.1117,-6.74696,3.09112,11.00416,-6.31893,2.66224,9.48275,-6.19072,2.75946,9.73364,-5.69835,2.36401,10.27585,-5.56966,3.88748,9.74482,-6.53004,1.81938,8.63583,-7.11965,0.6537,9.89067,-6.37961,2.87532,9.0102,-6.14075,5.16296,9.48308,-4.77092,7.41983,7.44273,-6.40408,2.47767,9.93278,-6.03661,4.73443,9.25449,-6.89419,4.57077,9.71986,-6.01446,6.83501,10.33257,-6.49444,2.27677,9.50435,-6.56289,2.36637,9.61827,-6.19307,4.48071,8.57213,-6.5224,4.04831,10.42784,-6.70316,3.53346,8.44986,-6.11696,4.52622,9.11124,-6.09789,5.32295,8.93344,-5.11215,6.84993,8.87002,-5.18086,5.69321,9.99727,-5.23752,7.41011,9.36823,-4.79254,6.67624,8.06911,-6.54068,3.7327,8.03991,-6.17291,3.22579,9.92099,-5.6865,6.28857,9.2929,-5.61111,2.90429,10.44538,-5.45281,4.96649,9.68581,-6.61979,4.17515,10.23147,-5.87203,5.81802,8.32227,-6.14833,5.0477,9.63377,-6.39127,5.88928,10.27969
40,-4.84448,5.25289,10.12586,-5.7704,4.06265,9.1273,-6.53929,3.13779,11.02744,-6.12693,2.66338,9.46369,-5.97728,2.81629,9.81933,-5.49759,2.41616,10.2912,-5.38071,3.92278,9.70452,-6.36947,1.7821,8.72078,-6.85802,0.70841,9.97057,-6.17021,2.97671,9.11766,-5.96678,5.38418,9.55425,-4.65723,7.44599,7.48592,-6.26732,2.54175,9.94168,-5.89856,4.73255,9.35179,-6.72452,4.59623,9.86323,-5.77912,6.90549,10.4195,-6.27706,2.35424,9.62748,-6.31154,2.39044,9.76804,-6.02088,4.4487,8.68088,-6.34761,4.09467,10.49487,-6.50273,3.65571,8.53726,-5.9677,4.61228,9.12213,-5.91305,5.35647,9.05913,-4.97545,6.85226,8.95658,-5.04684,5.5808,10.04605,-5.10346,7.39375,9.37995,-4.64375,6.73784,8.14878,-6.38442,3.70878,8.12741,-5.99862,3.37811,10.01979,-5.54089,6.3504,9.42571,-5.49575,2.96816,10.52458,-5.32581,4.9871,9.80746,-6.40619,4.23373,10.34372,-5.67014,5.84685,8.4583,-6.00615,5.0713,9.70428,-6.25826,5.91493,10.44302
41,-4.70658,5.21064,10.11173,-5.59942,4.11498,9.11804,-6.31402,3.17891,11.02832,-5.94322,2.64907,9.42472,-5.77716,2.8589,9.89295,-5.30876,2.44892,10.28138,-5.1837,3.94455,9.63875,-6.20392,1.74892,8.7892,-6.60465,0.76286,10.02126,-5.95753,3.07919,9.19795,-5.80536,5.59723,9.61049,-4.53927,7.45007,7.50197,-6.11567,2.60493,9.93309,-5.73639,4.72893,9.41809,-6.54143,4.63356,9.98555,-5.54657,6.9827,10.47933,-6.04557,2.45117,9.72659,-6.03344,2.4361,9.88393,-5.82786,4.41823,8.77487,-6.16869,4.14136,10.53226,-6.29819,3.7915,8.60732,-5.81791,4.68425,9.11358,-5.73336,5.39293,9.17569,-4.83453,6.85404,9.01957,-4.90484,5.4587,10.07258,-4.94881,7.37606,9.35946,-4.50949,6.79761,8.21836,-6.22593,3.68485,8.20717,-5.8188,3.53267,10.10461,-5.36163,6.40654,9.5418,-5.35842,3.01594,10.57547,-5.19751,5.01139,9.91452,-6.17552,4.29387,10.42851,-5.46401,5.87452,8.58329,-5.84238,5.09607,9.75789,-6.09625,5.94905,10.5799
42,-4.59032,5.15372,10.08268,-5.43673,4.15229,9.09158,-6.08449,3.20727,11.00989,-5.78131,2.61222,9.37169,-5.60268,2.87413,9.95681,-5.14207,2.45487,10.25048,-4.9963,3.94719,9.551,-6.04703,1.71402,8.8409,-6.37303,0.80817,10.04336,-5.75639,3.17343,9.25041,-5.66679,5.79057,9.65575,-4.42666,7.4262,7.49463,-5.96218,2.65939,9.9125,-5.56322,4.72079,9.45343,-6.36172,4.6808,10.08362,-5.33421,7.06183,10.51195,-5.81581,2.56102,9.79924,-5.7497,2.49894,9.96087,-5.63135,4.38507,8.85153,-5.99734,4.17756,10.54178,-6.10585,3.93187,8.65928,-5.67796,4.73402,9.0892,-5.56956,5.42428,9.28153,-4.70199,6.84989,9.06074,-4.76465,5.32447,10.07736,-4.78849,7.3569,9.31321,-4.40004,6.84587,8.28061,-6.07969,3.65359,8.27865,-5.64684,3.68005,10.17834,-5.16348,6.45449,9.64191,-5.21071,3.04226,10.59704,-5.0785,5.03661,10.00834,-5.94337,4.35082,10.48488,-5.26762,5.8965,8.69704,-5.6687,5.11938,9.79841,-5.91543,5.99053,10.68599
43,-4.50746,5.07458,10.04584,-5.29778,4.16528,9.05696,-5.86453,3.21596,10.97623,-5.6529,2.54728,9.31031,-5.46407,2.84958,10.01213,-5.00644,2.42753,10.20357,-4.83543,3.92418,9.44594,-5.91084,1.67065,8.8765,-6.17466,0.83451,10.04007,-5.58076,3.24859,9.27629,-5.55858,5.95293,9.69314,-4.32883,7.36992,7.46837,-5.81987,2.69623,9.8852,-5.39345,4.70357,9.45995,-6.20211,4.73357,10.15545,-5.15623,7.13684,10.5188,-5.60311,2.67465,9.84463,-5.48248,2.56995,9.99796,-5.44881,4.34303,8.90878,-5.84461,4.19179,10.52619,-5.93904,4.06552,8.69398,-5.55719,4.75272,9.05271,-5.4297,5.44143,9.37344,-4.58895,6.83352,9.08243,-4.63589,5.17521,10.06161,-4.63829,7.33414,9.24848,-4.32277,6.87119,8.33762,-5.95769,3.60644,8.33983,-5.49585,3.80911,10.24385,-4.96295,6.49105,9.72614,-5.06454,3.04173,10.58953,-4.97725,5.05811,10.09052,-5.7251,4.39781,10.51424,-5.09305,5.90648,8.79915,-5.49732,5.13686,9.82927,-5.72769,6.03611,10.75803
44,-4.46604,4.96712,10.00888,-5.19486,4.14594,9.02256,-5.66777,3.19905,10.93176,-5.56705,2.451,9.24543,-5.36851,2.77522,10.05869,-4.90891,2.36232,10.14573,-4.71554,3.86896,9.3289,-5.80477,1.61179,8.89742,-6.01894,0.8319,10.01682,-5.44234,3.29306,9.27894,-5.4852,6.07409,9.72444,-4.25449,7.27876,7.42809,-5.70024,2.70578,9.8555,-5.24102,4.67108,9.44154,-6.07785,4.785,10.20077,-5.02217,7.20038,10.503,-5.4208,2.78054,9.86437,-5.25254,2.63643,9.99898,-5.29609,4.2843,8.94576,-5.72012,4.17297,10.48896,-5.80716,4.17973,8.71383,-5.4633,4.73151,9.0075,-5.31864,5.43499,9.44752,-4.50413,6.79801,9.0868,-4.52767,5.00787,10.02735,-4.51283,7.3039,9.17239,-4.28173,6.86153,8.39058,-5.86821,3.53431,8.38771,-5.37699,3.90783,10.30316,-4.77692,6.51195,9.79445,-4.93102,3.00895,10.55472,-4.89948,5.06944,10.16266,-5.53489,4.42621,10.52039,-4.94908,5.89657,8.8888,-5.33987,5.14227,9.85312,-5.54557,6.07972,10.79435
45,-4.47017,4.828,9.97851,-5.13588,4.08845,8.9944,-5.50659,3.15214,10.88059,-5.52964,2.32312,9.18036,-5.31988,2.64415,10.09459,-4.85447,2.25705,10.08107,-4.64789,3.77614,9.20555,-5.73488,1.53087,8.90537,-5.91326,0.79144,9.97988,-5.34929,3.29616,9.26339,-5.44824,6.14586,9.74985,-4.21119,7.15269,7.37827,-5.61222,2.67828,9.82603,-5.11805,4.61607,9.40376,-6.00144,4.82631,10.22134,-4.93683,7.24407,10.46851,-5.27925,2.86584,9.86223,-5.07634,2.6836,9.97179,-5.18609,4.20016,8.96324,-5.6314,4.112,10.43407,-5.71556,4.26134,8.72206,-5.40195,4.66267,8.95631,-5.23831,5.39588,9.5,-4.4536,6.7363,9.0759,-4.44805,4.8202,9.9773,-4.4243,7.26049,9.09085,-4.27839,6.80582,8.43971,-5.81522,3.42822,8.41886,-5.2983,3.96432,10.35687,-4.62115,6.51257,9.84681,-4.81967,2.93818,10.49591,-4.84843,5.0628,10.22657,-5.38439,4.42649,10.50889,-4.84055,5.85748,8.96487,-5.20645,5.12757,9.87152,-5.38076,6.11246,10.79572
46,-4.52118,4.65763,9.95892,-5.12451,3.9899,8.97484,-5.39156,3.07298,10.82572,-5.54311,2.16629,9.11653,-5.31859,2.454,10.11649,-4.84594,2.11264,10.01187,-4.63983,3.64274,9.08089,-5.70401,1.42263,8.9019,-5.86289,0.70699,9.93461,-5.30594,3.24949,9.23526,-5.44683,6.16335,9.76774,-4.20476,6.99451,7.32231,-5.56142,2.60451,9.79742,-5.03388,4.53091,9.3529,-5.98158,4.84798,10.22027,-4.9012,7.259,10.41909,-5.18543,2.91779,9.84379,-4.96437,2.69675,9.92605,-5.12799,4.08257,8.96347,-5.58376,4.00333,10.36548,-5.66636,4.29812,8.72166,-5.37689,4.54108,8.90069,-5.18885,5.31607,9.52841,-4.44115,6.64219,9.05137,-4.40422,4.61169,9.91453,-4.3814,7.19786,9.00805,-4.31293,6.69586,8.48452,-5.79923,3.27994,8.43041,-5.26394,3.9683,10.40393,-4.50923,6.48791,9.88341,-4.73791,2.82355,10.41779,-4.82524,5.02977,10.28376,-5.28152,4.38935,10.48574,-4.76856,5.77929,9.02609,-5.1051,5.08356,9.88508,-5.24295,6.12323,10.76525
47,-4.61869,4.46086,9.95066,-5.16099,3.85098,8.96251,-5.33062,2.96188,10.76848,-5.6064,1.98607,9.05345,-5.36197,2.20736,10.12026,-4.88369,1.93311,9.93841,-4.69495,3.46963,8.9585,-5.71249,1.28387,8.88763,-5.87056,0.57698,9.88438,-5.31278,3.14837,9.19971,-5.4784,6.12556,9.77532,-4.23914,6.80963,7.26216,-5.54972,2.47659,9.76826,-4.99508,4.40877,9.29529,-6.02302,4.84147,10.20137,-4.91405,7.23701,10.3575,-5.1429,2.92567,9.81525,-4.92051,2.66353,9.87103,-5.12728,3.92502,8.94998,-5.58036,3.84659,10.28662,-5.65958,4.28034,8.71421,-5.39058,4.36565,8.8405,-5.17007,5.18939,9.53225,-4.46872,6.51114,9.0149,-4.40242,4.38499,9.84204,-4.38927,7.11055,8.92588,-4.38545,6.52802,8.52426,-5.8186,3.08286,8.42084,-5.27459,3.91243,10.44172,-4.45146,6.43381,9.90482,-4.69101,2.65972,10.3255,-4.82994,4.9623,10.33539,-5.23027,4.30741,10.45569,-4.73123,5.65263,9.07153,-5.04153,5.00091,9.89376,-5.13927,6.09945,10.70825
48,-4.76139,4.24662,9.95049,-5.24371,3.67627,8.95299,-5.32859,2.82176,10.70828,-5.71511,1.7899,8.98885,-5.445,1.91197,10.10182,-4.96593,1.72539,9.85879,-4.81292,3.2623,8.8395,-5.75915,1.11439,8.86184,-5.9364,0.40539,9.83014,-5.36723,2.99333,9.16035,-5.53949,6.03599,9.7687,-4.316,6.60577,7.19797,-5.57564,2.28901,9.73568,-5.00582,4.24504,9.2363,-6.12638,4.80103,10.168,-4.9733,7.17249,10.2852,-5.15257,2.8827,9.78233,-4.94292,2.57586,9.81357,-5.1859,3.72496,8.92648,-5.62259,3.6477,10.19963,-5.69414,4.20246,8.69924,-5.44477,4.14049,8.77374,-5.18283,5.01287,9.51332,-4.5371,6.34163,8.96823,-4.44813,4.14636,9.76227,-4.44946,6.99558,8.84396,-4.49651,6.30486,8.5581,-5.87113,2.83344,8.39024,-5.32824,3.79362,10.46689,-4.45442,6.34786,9.91177,-4.68242,2.44347,10.22404,-4.86256,4.85372,10.38171,-5.23112,4.1766,10.4215,-4.72522,5.47032,9.10094,-5.01917,4.87157,9.8971,-5.074,6.02883,10.63126
49,-4.94683,4.02652,9.9519,-5.37059,3.47437,8.94033,-5.38688,2.65797,10.64273,-5.86197,1.58645,8.91925,-5.56105,1.58007,10.05786,-5.08865,1.49856,9.76957,-4.98937,3.03066,8.722,-5.8421,0.91807,8.82249,-6.05768,0.20184,9.77081,-5.46471,2.79014,9.11819,-5.62635,5.90253,9.74375,-4.43442,6.39215,7.12807,-5.63513,2.0399,9.69602,-5.06848,4.03853,9.17945,-6.28853,4.72512,10.1221,-5.07711,7.06396,10.20261,-5.21304,2.78769,9.74884,-5.02597,2.4315,9.75685,-5.30306,3.48439,8.89614,-5.71022,3.41865,10.105,-5.76849,4.06441,8.67441,-5.5408,3.87544,8.69665,-5.2296,4.78801,9.47466,-4.64631,6.1358,8.91346,-4.54537,3.90564,9.67654,-4.56026,6.85336,8.76009,-4.64642,6.03559,8.5847,-5.955,2.53287,8.33969,-5.42176,3.61421,10.47589,-4.52097,6.23016,9.90488,-4.71445,2.17603,10.11704,-4.92393,4.70035,10.42169,-5.28242,3.9972,10.3833,-4.74735,5.22883,9.11512,-5.03925,4.69041,9.89441,-5.0494,5.90109,10.5411
50,-5.17065,3.81222,9.94628,-5.53962,3.25733,8.91864,-5.50321,2.47776,10.56799,-6.03742,1.3841,8.84055,-5.70283,1.22729,9.98659,-5.24591,1.26272,9.66631,-5.21565,2.78759,8.60068,-5.95913,0.70321,8.76647,-6.22874,-0.0199,9.70402,-5.59963,2.54988,9.07137,-5.73535,5.73677,9.6966,-4.59088,6.17834,7.04946,-5.72305,1.7327,9.64538,-5.1837,3.79293,9.12585,-6.50271,4.61683,10.06365,-5.22423,6.91539,10.10922,-5.32107,2.64547,9.716,-5.16177,2.23474,9.70042,-5.47507,3.21054,8.86045,-5.84138,3.17596,10.00098,-5.8805,3.87245,8.63608,-5.67917,3.58538,8.60414,-5.31377,4.52211,9.41949,-4.79507,5.90026,8.85273,-4.69579,3.67444,9.58466,-4.71696,6.68822,8.67042,-4.83389,5.73506,8.60161,-6.06906,2.1885,8.27053,-5.55208,3.3825,10.46554,-4.65003,6.08423,9.88452,-4.7886,1.86494,10.00577,-5.01613,4.50249,10.45302,-5.38145,3.7744,10.3389,-4.79578,4.93032,9.11566,-5.10119,4.45686,9.88481,-5.06608,5.71037,10.44411
51,-5.4251,3.61243,9.9245,-5.74859,3.03905,8.88342,-5.67193,2.28938,10.47953,-6.23039,1.19016,8.74881,-5.86298,0.87103,9.88793,-5.42984,1.02779,9.54445,-5.47876,2.54601,8.46744,-6.10717,0.48199,8.69018,-6.44071,-0.2444,9.6266,-5.76603,2.28705,9.01508,-5.86321,5.55261,9.62399,-4.77935,5.97296,6.95815,-5.83441,1.37739,9.57982,-5.34982,3.5168,9.0739,-6.75877,4.48303,9.9902,-5.4133,6.73572,10.00396,-5.47136,2.46653,9.6816,-5.34138,1.99621,9.64041,-5.69521,2.9148,8.81852,-6.01229,2.93745,9.88363,-6.02724,3.63864,8.58024,-5.85888,3.28827,8.49054,-5.4384,4.2286,9.34995,-4.98033,5.6451,8.78736,-4.89714,3.46273,9.48447,-4.91214,6.50768,8.57014,-5.05416,5.42113,8.6045,-6.21249,1.81418,8.18325,-5.71679,3.11242,10.43331,-4.83705,5.91683,9.85019,-4.90541,1.52475,9.88876,-5.14186,4.26556,10.47189,-5.52495,3.5181,10.2843,-4.87084,4.5831,9.10429,-5.20294,4.17572,9.86688,-5.12392,5.45735,10.34515
52,-5.69861,3.4307,9.87826,-5.99381,2.8331,8.83197,-5.88422,2.10127,10.37302,-6.42906,1.00992,8.64117,-6.03456,0.52878,9.76365,-5.6313,0.80227,9.40023,-5.76219,2.31582,8.3127,-6.28179,0.26857,8.59032,-6.68178,-0.4578,9.53496,-5.95779,2.01733,8.94218,-6.00665,5.36451,9.52362,-4.9916,5.78279,6.8503,-5.96516,0.99082,9.49528,-5.56189,3.22267,9.01932,-7.04346,4.33219,9.89722,-5.64147,6.53783,9.88532,-5.65623,2.26448,9.64009,-5.55493,1.73094,9.57032,-5.95303,2.61056,8.76683,-6.21688,2.71871,9.74729,-6.20447,3.3788,8.50334,-6.0763,3.00218,8.35057,-5.60449,3.92527,9.2663,-5.19621,5.38254,8.71706,-5.14167,3.27555,9.37157,-5.13576,6.32083,8.45399,-5.29835,5.11096,8.58704,-6.38361,1.42878,8.07746,-5.91376,2.82203,10.37693,-5.07395,5.7369,9.80043,-5.06353,1.17537,9.76155,-5.30325,3.99971,10.47335,-5.70869,3.24148,10.2141,-4.97469,4.20197,9.08222,-5.34109,3.85742,9.83837,-5.22254,5.15011,10.24736
53,-5.97597,3.26501,9.80153,-6.26858,2.64988,8.76311,-6.12884,1.92118,10.24511,-6.6219,0.8464,8.51644,-6.21135,0.21596,9.61654,-5.83994,0.59244,9.23139,-6.04781,2.10154,8.12758,-6.47674,0.07579,8.46467,-6.93815,-0.65031,9.42527,-6.16832,1.7548,8.8448,-6.16207,5.18568,9.39445,-5.21777,5.61176,6.72285,-6.11211,0.59537,9.38769,-5.81088,2.92487,8.95547,-7.34166,4.17198,9.77899,-5.90291,6.33569,9.75155,-5.86545,2.0534,9.58315,-5.79139,1.45585,9.48189,-6.23449,2.31011,8.69949,-6.44682,2.52987,9.58574,-6.40638,3.10964,8.40303,-6.32441,2.74181,8.18051,-5.8097,3.63118,9.16725,-5.43379,5.12417,8.63909,-5.41618,3.11036,9.23967,-5.37593,6.13572,8.3168,-5.55412,4.81765,8.54155,-6.57893,1.05289,7.95195,-6.14009,2.53065,10.29419,-5.34958,5.55339,9.7325,-5.25875,0.83828,9.61698,-5.50001,3.71827,10.4518,-5.92669,2.95875,10.12229,-5.11018,3.80698,9.04968,-5.51082,3.51681,9.79612,-5.3611,4.80413,10.15155
